Set,No,Pool,Sub-Pool,#s,Count,Name,Reprint,Sub-Pool: Resource,Sub-Pool: Cost,Sub-Pool: Card Type,Duplicate Calc,Summary,
Core,1A,Hero,Spider-Man (PP),-,1,Spider-Man,,Hero: Spider-Man (PP)-,Hero: Spider-Man (PP)-,Hero: Spider-Man (PP) Hero,Core,CoreHero,Core1
Core,1B,Hero,Spider-Man (PP),-,-,Peter Parker,,Hero: Spider-Man (PP)-,Hero: Spider-Man (PP)-,Hero: Spider-Man (PP) Alter-Ego,Core,CoreHero,Core-
Core,2,Hero,Spider-Man (PP),1,1,Black Cat / Felicia Hardy,,Hero: Spider-Man (PP)Energy,Hero: Spider-Man (PP)2,Hero: Spider-Man (PP)Ally,Core,CoreHero,Core1
Core,3,Hero,Spider-Man (PP),2-3,2,Backflip,,Hero: Spider-Man (PP)Physical,Hero: Spider-Man (PP)0,Hero: Spider-Man (PP)Event,Core,CoreHero,Core2
Core,4,Hero,Spider-Man (PP),4-5,2,Enhanced Spider Sense,,Hero: Spider-Man (PP)Mental,Hero: Spider-Man (PP)1,Hero: Spider-Man (PP)Event,Core,CoreHero,Core2
Core,5,Hero,Spider-Man (PP),6-8,3,Swinging Web Kick,,Hero: Spider-Man (PP)Mental,Hero: Spider-Man (PP)3,Hero: Spider-Man (PP)Event,Core,CoreHero,Core3
Core,6,Hero,Spider-Man (PP),9,1,Aunt May,,Hero: Spider-Man (PP)Energy,Hero: Spider-Man (PP)1,Hero: Spider-Man (PP)Support,Core,CoreHero,Core1
Core,7,Hero,Spider-Man (PP),10-11,2,Spider-Tracer,,Hero: Spider-Man (PP)Energy,Hero: Spider-Man (PP)1,Hero: Spider-Man (PP)Upgrade,Core,CoreHero,Core2
Core,8,Hero,Spider-Man (PP),12-13,2,Webbed Up,,Hero: Spider-Man (PP)Physical,Hero: Spider-Man (PP)4,Hero: Spider-Man (PP)Upgrade,Core,CoreHero,Core2
Core,9,Hero,Spider-Man (PP),14-15,2,Web-Shooter,,Hero: Spider-Man (PP)Physical,Hero: Spider-Man (PP)1,Hero: Spider-Man (PP)Upgrade,Core,CoreHero,Core2
Core,10A,Hero,Captain Marvel,-,1,Captain Marvel,,Hero: Captain Marvel-,Hero: Captain Marvel-,Hero: Captain Marvel Hero,Core,CoreHero,Core1
Core,10B,Hero,Captain Marvel,-,-,Carol Danvers,,Hero: Captain Marvel-,Hero: Captain Marvel-,Hero: Captain Marvel Alter-Ego,Core,CoreHero,Core-
Core,11,Hero,Captain Marvel,1,1,Spider-Woman / Jessica Drew,,Hero: Captain MarvelWild,Hero: Captain Marvel3,Hero: Captain MarvelAlly,Core,CoreHero,Core1
Core,12,Hero,Captain Marvel,2-4,3,Crisis Interdiction,,Hero: Captain MarvelEnergy,Hero: Captain Marvel2,Hero: Captain MarvelEvent,Core,CoreHero,Core3
Core,13,Hero,Captain Marvel,5-7,3,Photonic Blast,,Hero: Captain MarvelPhysical,Hero: Captain Marvel3,Hero: Captain MarvelEvent,Core,CoreHero,Core3
Core,14,Hero,Captain Marvel,8-9,2,Energy Absorption,,Hero: Captain MarvelEnergy,Hero: Captain Marvel-,Hero: Captain MarvelResource,Core,CoreHero,Core2
Core,15,Hero,Captain Marvel,10,1,Alpha Flight Station,,Hero: Captain MarvelMental,Hero: Captain Marvel1,Hero: Captain MarvelSupport,Core,CoreHero,Core1
Core,16,Hero,Captain Marvel,11,1,Captain Marvel's Helmet,,Hero: Captain MarvelPhysical,Hero: Captain Marvel2,Hero: Captain MarvelUpgrade,Core,CoreHero,Core1
Core,17,Hero,Captain Marvel,12-13,2,Cosmic Flight,,Hero: Captain MarvelEnergy,Hero: Captain Marvel2,Hero: Captain MarvelUpgrade,Core,CoreHero,Core2
Core,18,Hero,Captain Marvel,14-15,2,Energy Channel,,Hero: Captain MarvelMental,Hero: Captain Marvel0,Hero: Captain MarvelUpgrade,Core,CoreHero,Core2
Core,19A,Hero,She-Hulk,-,1,She-Hulk,,Hero: She-Hulk-,Hero: She-Hulk-,Hero: She-Hulk Hero,Core,CoreHero,Core1
Core,19B,Hero,She-Hulk,-,-,Jennifer Walters,,Hero: She-Hulk-,Hero: She-Hulk-,Hero: She-Hulk Alter-Ego,Core,CoreHero,Core-
Core,20,Hero,She-Hulk,1,1,Hellcat / Patsy Walker,,Hero: She-HulkWild,Hero: She-Hulk3,Hero: She-HulkAlly,Core,CoreHero,Core1
Core,21,Hero,She-Hulk,2,1,Gamma Slam,,Hero: She-HulkMental,Hero: She-Hulk4,Hero: She-HulkEvent,Core,CoreHero,Core1
Core,22,Hero,She-Hulk,3-4,2,Ground Stomp,,Hero: She-HulkMental,Hero: She-Hulk2,Hero: She-HulkEvent,Core,CoreHero,Core2
